Name,DateTime,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_PM10,AQI_PM2.5,AQI_Site,Time
Florey,11/23/2017,1,12,42,52,21,24,52,24
Monash,11/22/2017,1,7,46,56,16,14,56,24
Florey,11/22/2017,1,5,41,51,15,16,51,24
Civic,11/22/2017,,,37,45,,17,45,24
Monash,11/21/2017,1,3,35,41,18,19,41,24
Civic,11/21/2017,,,28,34,,17,34,24
Florey,11/21/2017,1,9,33,40,16,22,40,24
Civic,11/20/2017,,,25,31,,13,31,24
Florey,11/20/2017,1,7,30,37,14,16,37,24
Monash,11/20/2017,1,4,29,36,15,11,36,24
Monash,11/19/2017,1,0,33,41,11,10,41,24
Civic,11/19/2017,,,29,36,,18,36,24
Florey,11/19/2017,1,1,33,41,13,14,41,24
Civic,11/18/2017,,,23,29,20,28,29,24
Florey,11/18/2017,2,4,27,33,18,20,33,24
Monash,11/18/2017,1,1,25,31,18,25,31,24
Florey,11/17/2017,2,7,41,48,19,30,48,24
Monash,11/17/2017,2,6,41,49,21,27,49,24
Civic,11/17/2017,,,35,41,23,36,41,24
Florey,11/16/2017,2,12,38,54,23,34,54,24
Monash,11/16/2017,2,10,37,46,25,27,46,24
Civic,11/16/2017,,,31,49,27,36,49,24
Civic,11/15/2017,,,48,52,23,27,52,24
Monash,11/15/2017,1,10,49,58,23,20,58,24
Florey,11/15/2017,2,22,47,58,21,27,58,24
Monash,11/14/2017,1,3,46,56,20,19,56,24
Civic,11/14/2017,,,37,46,17,24,46,24
Florey,11/14/2017,1,9,44,54,16,19,54,24
Monash,11/13/2017,1,2,42,50,20,21,50,24
Civic,11/13/2017,,,34,41,17,20,41,24
Florey,11/13/2017,1,7,37,45,17,21,45,24
Monash,11/12/2017,2,1,42,50,16,20,50,24
Civic,11/12/2017,,,34,41,18,22,41,24
Florey,11/12/2017,1,3,38,46,16,24,46,24
Monash,11/11/2017,2,8,39,45,22,20,45,24
Florey,11/11/2017,2,11,35,43,15,22,43,24
Civic,11/11/2017,,,36,41,18,24,41,24
Civic,11/10/2017,,,33,39,19,19,39,24
Florey,11/10/2017,1,14,39,48,16,21,48,24
Monash,11/10/2017,2,6,38,45,18,20,45,24
Florey,11/09/2017,5,15,33,40,18,24,40,24
Monash,11/09/2017,1,13,34,40,18,24,40,24
Civic,11/09/2017,,,28,33,20,25,33,24
Florey,11/08/2017,2,3,33,41,21,24,41,24
Monash,11/08/2017,1,4,30,37,18,27,37,24
Civic,11/08/2017,,,28,34,20,23,34,24
Civic,11/07/2017,,,28,34,11,16,34,24
Monash,11/07/2017,1,1,27,33,9,16,33,24
Florey,11/07/2017,4,9,35,42,29,23,42,24
Monash,11/06/2017,1,2,28,33,13,12,33,24
Civic,11/06/2017,,,24,28,13,18,28,24
Florey,11/06/2017,3,16,25,31,12,12,31,24
Florey,11/05/2017,1,1,31,39,31,20,39,24
Civic,11/05/2017,,,28,34,19,21,34,24
Monash,11/05/2017,1,0,33,40,18,15,40,24
Florey,11/04/2017,2,7,34,42,31,20,42,24
Civic,11/04/2017,,,31,37,19,21,37,24
Monash,11/04/2017,1,2,34,42,17,12,42,24
Civic,11/03/2017,,,27,33,21,21,33,24
Florey,11/03/2017,2,16,28,34,17,20,34,24
Monash,11/03/2017,1,5,34,42,33,17,42,24
Civic,11/02/2017,,,31,38,16,22,38,24
Florey,11/02/2017,1,10,37,45,17,25,45,24
Monash,11/02/2017,1,4,36,44,34,20,44,24
Monash,11/01/2017,1,0,30,35,17,16,35,23
Florey,11/01/2017,1,11,28,33,11,20,33,24
Civic,11/01/2017,,,26,32,14,16,32,24
Florey,10/31/2017,1,10,27,34,29,16,34,24
Monash,10/31/2017,1,0,25,35,35,26,35,24
Civic,10/31/2017,,,25,31,21,22,31,24
Florey,10/30/2017,2,11,32,39,30,19,39,24
Monash,10/30/2017,2,9,33,40,38,30,40,24
Civic,10/30/2017,,,28,34,24,26,34,24
Civic,10/29/2017,,,41,49,15,18,49,24
Florey,10/29/2017,2,17,45,54,16,23,54,24
Monash,10/29/2017,2,16,44,53,15,15,53,24
Florey,10/28/2017,2,15,42,52,14,21,52,24
Monash,10/28/2017,2,4,40,49,16,15,49,24
Civic,10/28/2017,,,28,45,14,18,45,24
Monash,10/27/2017,1,7,40,46,12,7,46,24
Civic,10/27/2017,,,30,37,22,18,37,24
Florey,10/27/2017,1,7,37,45,10,15,45,24
Monash,10/26/2017,1,5,37,46,15,9,46,24
Civic,10/26/2017,,,32,40,,18,40,24
Florey,10/26/2017,2,5,38,46,21,13,46,24
Civic,10/25/2017,,,32,39,,28,39,24
Florey,10/25/2017,3,21,37,45,27,25,45,24
Monash,10/25/2017,2,13,38,46,18,17,46,24
Monash,10/24/2017,2,22,43,52,17,19,52,24
Florey,10/24/2017,3,28,43,53,23,23,53,24
Civic,10/24/2017,,,35,42,,21,42,24
Florey,10/23/2017,2,17,39,47,17,32,47,24
Monash,10/23/2017,2,17,39,46,18,23,46,24
Civic,10/23/2017,,,36,42,,25,42,24
Monash,10/22/2017,2,5,32,39,26,26,39,24
Civic,10/22/2017,,,31,38,,26,38,24
Florey,10/22/2017,0,5,36,43,34,30,43,24
Monash,10/21/2017,1,2,36,45,26,34,45,24
Florey,10/21/2017,1,7,37,43,36,31,43,24
Civic,10/21/2017,,,33,41,,21,41,24
Civic,10/20/2017,,,35,40,,26,40,24
Monash,10/20/2017,1,4,32,40,25,31,40,24
Florey,10/20/2017,1,12,35,40,30,20,40,24
Civic,10/19/2017,,,31,40,,34,40,24
Florey,10/19/2017,1,11,34,38,33,31,38,24
Monash,10/19/2017,2,11,35,36,31,22,36,24
Civic,10/18/2017,,,40,45,,28,45,24
Monash,10/18/2017,1,7,41,50,28,19,50,24
Florey,10/18/2017,1,13,43,48,23,22,48,24
Florey,10/17/2017,1,12,42,50,19,18,50,24
Civic,10/17/2017,,,39,43,,22,43,24
Monash,10/17/2017,2,9,39,48,24,21,48,24
Florey,10/16/2017,0,8,45,54,19,26,54,24
Civic,10/16/2017,,,39,47,,18,47,24
Monash,10/16/2017,1,4,43,52,20,20,52,24
Civic,10/15/2017,,,38,45,,22,45,24
Florey,10/15/2017,0,3,42,51,16,26,51,24
Monash,10/15/2017,1,5,43,53,18,24,53,24
Florey,10/14/2017,1,3,32,40,19,23,40,24
Monash,10/14/2017,1,1,31,38,20,21,38,24
Civic,10/14/2017,,,27,33,,26,33,24
Monash,10/13/2017,2,8,30,37,19,23,37,24
Florey,10/13/2017,1,7,30,37,17,27,37,24
Civic,10/13/2017,,,28,33,,22,33,24
Civic,10/12/2017,,,35,44,,30,44,24
Monash,10/12/2017,2,0,39,47,25,30,47,24
Florey,10/12/2017,1,4,39,48,21,37,48,24
Monash,10/11/2017,3,25,45,55,26,30,55,24
Florey,10/11/2017,2,22,44,55,22,39,55,24
Civic,10/11/2017,,,40,48,,34,48,24
Monash,10/10/2017,2,15,37,45,14,26,45,24
Florey,10/10/2017,2,16,36,45,18,25,45,24
Civic,10/10/2017,,,32,39,,26,39,24
Monash,10/09/2017,2,10,36,45,14,23,45,24
Civic,10/09/2017,,,35,42,,26,42,24
Florey,10/09/2017,1,12,39,47,10,18,47,24
Monash,10/08/2017,1,2,33,41,14,12,41,24
Florey,10/08/2017,2,4,33,41,11,17,41,24
Civic,10/08/2017,,,29,35,,15,35,24
Monash,10/07/2017,1,4,33,41,11,18,41,24
Civic,10/07/2017,,,29,35,,16,35,24
Florey,10/07/2017,1,2,34,41,14,10,41,24
Monash,10/06/2017,1,6,35,43,25,30,43,24
Civic,10/06/2017,,,30,35,,36,36,24
Florey,10/06/2017,1,4,33,40,27,33,40,24
Monash,10/05/2017,2,10,45,55,27,31,55,24
Florey,10/05/2017,1,9,47,56,29,37,56,24
Civic,10/05/2017,,,40,47,,40,47,24
Civic,10/04/2017,,,33,39,,36,39,24
Florey,10/04/2017,1,17,38,45,26,36,45,24
Monash,10/04/2017,3,11,39,47,26,40,47,24
Civic,10/03/2017,,,31,38,,40,40,24
Monash,10/03/2017,3,10,39,47,27,38,47,24
Florey,10/03/2017,1,16,37,46,29,34,46,24
Florey,10/02/2017,1,16,35,43,16,29,43,24
Monash,10/02/2017,3,10,36,45,26,24,45,24
Civic,10/02/2017,,,31,37,,26,37,24
Florey,10/01/2017,0,14,28,34,20,24,34,24
Civic,10/01/2017,,,23,28,,26,28,24
Monash,10/01/2017,2,6,28,34,23,22,34,24
Civic,09/30/2017,,,28,35,,22,35,24
Florey,09/30/2017,0,16,31,38,17,21,38,24
Monash,09/30/2017,1,6,32,40,13,12,40,24
Florey,09/29/2017,0,13,32,40,25,24,40,24
Monash,09/29/2017,1,6,32,40,36,21,40,24
Civic,09/29/2017,,,28,35,,24,35,24
Florey,09/28/2017,1,12,34,42,29,29,42,24
Civic,09/28/2017,,,30,37,,34,37,24
Monash,09/28/2017,2,2,34,41,37,22,41,24
Florey,09/27/2017,1,18,42,51,25,29,51,24
Monash,09/27/2017,2,25,42,51,25,22,51,24
Civic,09/27/2017,,,36,44,,23,44,24
Monash,09/26/2017,1,11,33,41,36,16,41,24
Civic,09/26/2017,,,28,34,,13,34,24
Florey,09/26/2017,0,14,35,42,19,23,42,24
Monash,09/25/2017,1,0,32,40,40,21,40,24
Florey,09/25/2017,0,3,32,40,48,24,48,24
Civic,09/25/2017,,,30,37,,23,37,24
Monash,09/24/2017,2,0,35,42,51,37,51,24
Florey,09/24/2017,1,2,34,41,55,45,55,24
Civic,09/24/2017,,,30,37,,37,37,24
Florey,09/23/2017,6,17,42,51,44,50,51,24
Monash,09/23/2017,8,16,42,52,50,43,52,24
Civic,09/23/2017,,,36,45,,40,45,24
Florey,09/22/2017,5,21,34,42,35,50,50,24
Monash,09/22/2017,6,23,34,41,36,38,41,24
Civic,09/22/2017,,,27,33,,38,38,24
Monash,09/21/2017,6,20,35,42,26,41,42,24
Florey,09/21/2017,4,20,33,40,23,37,40,24
Civic,09/21/2017,,,27,32,,28,32,24
Civic,09/20/2017,,,25,30,,26,30,24
Florey,09/20/2017,4,15,31,37,22,39,39,24
Monash,09/20/2017,5,20,33,40,24,35,40,24
Civic,09/19/2017,,,29,35,,20,35,24
Monash,09/19/2017,6,17,33,40,29,52,52,24
Florey,09/19/2017,3,18,32,40,18,104,104,24
Florey,09/18/2017,7,24,38,47,29,108,108,24
Civic,09/18/2017,,,33,40,17,20,40,24
Monash,09/18/2017,8,25,38,45,31,62,62,24
Civic,09/17/2017,,,29,35,16,42,42,24
Florey,09/17/2017,8,19,32,39,34,58,58,24
Monash,09/17/2017,9,21,31,38,25,54,54,24
Civic,09/16/2017,,,28,34,16,44,44,24
Monash,09/16/2017,2,17,33,41,9,15,41,24
Florey,09/16/2017,3,17,32,40,17,40,40,24
Monash,09/15/2017,1,2,30,36,7,12,36,24
Civic,09/15/2017,,,26,32,14,12,32,24
Florey,09/15/2017,0,2,29,36,16,47,47,24
Civic,09/14/2017,,,29,36,21,18,36,24
Monash,09/14/2017,2,2,32,39,15,12,39,24
Florey,09/14/2017,0,2,32,40,16,11,40,24
Florey,09/13/2017,1,5,32,40,19,18,40,24
Monash,09/13/2017,2,1,33,40,25,22,40,24
Civic,09/13/2017,,,29,36,27,23,36,24
Civic,09/12/2017,,,29,33,26,25,33,24
Monash,09/12/2017,4,12,32,38,24,58,58,24
Florey,09/12/2017,2,14,32,38,19,51,51,24
Monash,09/11/2017,7,14,30,37,31,66,66,24
Florey,09/11/2017,3,13,30,36,18,51,51,24
Civic,09/11/2017,,,26,31,18,28,31,24
Monash,09/10/2017,8,17,33,40,19,58,58,24
Florey,09/10/2017,6,13,31,38,17,32,38,24
Civic,09/10/2017,,,28,34,21,34,34,24
Monash,09/09/2017,3,16,29,36,8,1,36,24
Civic,09/09/2017,,,25,31,13,18,31,24
Florey,09/09/2017,1,11,29,35,13,44,44,24
Florey,09/08/2017,1,5,31,37,8,62,62,24
Civic,09/08/2017,,,27,33,8,11,33,24
Monash,09/08/2017,3,4,31,39,6,6,39,24
Florey,09/07/2017,0,5,31,38,5,35,38,24
Civic,09/07/2017,,,27,33,10,16,33,24
Monash,09/07/2017,1,4,32,39,6,13,39,24
Civic,09/06/2017,,,29,34,8,10,34,24
Monash,09/06/2017,1,2,32,38,4,10,38,24
Florey,09/06/2017,0,3,32,38,6,9,38,24
Monash,09/05/2017,1,1,31,38,10,9,38,24
Civic,09/05/2017,,,27,34,14,13,34,24
Florey,09/05/2017,0,2,31,39,12,7,39,24
Civic,09/04/2017,,,29,36,31,27,36,24
Monash,09/04/2017,1,1,31,39,30,46,46,24
Florey,09/04/2017,0,6,32,39,27,36,39,24
Monash,09/03/2017,7,14,34,42,35,57,57,24
Florey,09/03/2017,6,15,34,42,31,43,43,24
Civic,09/03/2017,,,32,39,38,39,39,24
Civic,09/02/2017,,,29,34,27,31,34,24
Florey,09/02/2017,6,21,33,39,28,60,60,24
Monash,09/02/2017,10,17,31,39,32,68,68,24
Florey,09/01/2017,5,17,30,37,23,61,61,24
Civic,09/01/2017,,,24,30,21,22,30,24
Monash,09/01/2017,7,23,30,37,26,47,47,24
Civic,08/31/2017,,,29,36,106,216,216,24
Monash,08/31/2017,4,0,27,39,24,58,58,24
Florey,08/31/2017,1,19,33,41,34,57,57,24
Monash,08/30/2017,9,17,31,38,28,66,66,24
Florey,08/30/2017,8,16,31,38,38,63,63,24
Civic,08/30/2017,,,28,34,115,218,218,24
Civic,08/29/2017,,,29,36,19,22,36,24
Monash,08/29/2017,4,23,33,41,15,30,41,24
Florey,08/29/2017,8,24,34,41,28,50,50,24
Florey,08/28/2017,2,17,32,39,18,40,40,24
Monash,08/28/2017,3,18,30,38,14,34,38,24
Civic,08/28/2017,,,25,35,13,16,35,24
Monash,08/27/2017,5,12,31,38,26,59,59,24
Civic,08/27/2017,,,29,34,19,26,34,24
Florey,08/27/2017,,13,29,36,25,50,50,24
Monash,08/26/2017,10,17,30,36,31,68,68,24
Civic,08/26/2017,,,26,31,22,28,31,24
Florey,08/26/2017,,15,30,36,28,51,51,24
Florey,08/25/2017,9,17,32,39,16,43,43,24
Monash,08/25/2017,4,21,32,40,16,41,41,24
Civic,08/25/2017,,,27,33,20,20,33,24
Monash,08/24/2017,7,16,31,38,24,55,55,24
Florey,08/24/2017,5,18,32,39,27,50,50,24
Civic,08/24/2017,,,28,34,20,19,34,24
Monash,08/23/2017,9,18,31,39,28,62,62,24
Civic,08/23/2017,,,26,31,24,29,31,24
Florey,08/23/2017,11,21,31,38,29,67,67,24
Civic,08/22/2017,,,28,32,20,28,32,24
Florey,08/22/2017,7,17,32,39,21,53,53,24
Monash,08/22/2017,6,21,31,37,20,44,44,24
Florey,08/21/2017,10,16,27,33,27,91,91,24
Monash,08/21/2017,5,18,29,34,22,48,48,24
Civic,08/21/2017,,,23,28,24,25,28,24
Florey,08/20/2017,8,20,33,41,23,63,63,24
Civic,08/20/2017,,,30,36,14,15,36,24
Monash,08/20/2017,4,23,34,42,15,33,42,24
Florey,08/19/2017,5,21,33,41,7,13,41,24
Monash,08/19/2017,2,13,32,40,4,12,40,24
Civic,08/19/2017,,,31,38,7,12,38,24
Civic,08/18/2017,,,30,37,18,16,37,24
Florey,08/18/2017,1,7,33,41,14,12,41,24
Monash,08/18/2017,1,3,32,40,13,16,40,24
Florey,08/17/2017,1,5,32,40,17,14,40,24
Monash,08/17/2017,1,6,32,39,15,20,39,24
Civic,08/17/2017,,,29,36,23,22,36,24
Monash,08/16/2017,10,4,32,39,26,51,51,24
Civic,08/16/2017,,,27,34,25,25,34,24
Florey,08/16/2017,3,4,32,40,19,34,40,24
Florey,08/15/2017,9,13,24,30,25,42,42,24
Civic,08/15/2017,,,22,25,29,28,29,24
Monash,08/15/2017,7,15,26,32,30,59,59,24
Civic,08/14/2017,,,23,27,23,26,27,24
Monash,08/14/2017,5,20,29,35,19,41,41,24
Florey,08/14/2017,7,18,28,34,21,35,35,24
Florey,08/13/2017,3,16,29,36,14,14,36,24
Civic,08/13/2017,,,27,31,22,18,31,24
Monash,08/13/2017,2,9,30,37,13,20,37,24
Civic,08/12/2017,,,29,36,22,18,36,24
Monash,08/12/2017,1,4,32,39,13,22,39,24
Florey,08/12/2017,1,4,33,41,14,19,41,24
Monash,08/11/2017,3,13,33,41,20,37,41,24
Florey,08/11/2017,4,10,33,41,14,21,41,24
Civic,08/11/2017,,,28,35,18,24,35,24
Monash,08/10/2017,6,16,35,40,20,39,40,24
Florey,08/10/2017,2,14,32,39,7,8,39,24
Civic,08/10/2017,,,27,33,17,18,33,24
Monash,08/09/2017,4,17,29,36,13,31,36,24
Florey,08/09/2017,2,6,29,34,7,10,34,24
Civic,08/09/2017,,,23,28,12,17,28,24
Florey,08/08/2017,1,7,31,37,5,10,37,24
Civic,08/08/2017,,,28,33,9,18,33,24
Monash,08/08/2017,4,19,32,39,7,23,39,24
Civic,08/07/2017,,,26,31,12,14,31,24
Florey,08/07/2017,2,5,30,37,9,14,37,24
Monash,08/07/2017,1,6,32,39,11,15,39,24
Civic,08/06/2017,,,30,36,14,14,36,24
Monash,08/06/2017,1,2,34,42,11,12,42,24
Florey,08/06/2017,2,7,32,39,10,12,39,24
Florey,08/05/2017,1,7,31,39,7,7,39,24
Monash,08/05/2017,1,2,33,40,4,6,40,24
Civic,08/05/2017,,,28,35,8,12,35,24
Monash,08/04/2017,1,5,29,39,10,24,39,24
Florey,08/04/2017,2,7,28,36,16,33,36,24
Civic,08/04/2017,,,24,31,10,13,31,24
Florey,08/03/2017,9,20,36,38,22,40,40,24
Civic,08/03/2017,,,31,33,15,18,33,24
Monash,08/03/2017,6,10,34,40,15,39,40,24
Florey,08/02/2017,7,17,32,40,19,35,40,24
Civic,08/02/2017,,,29,35,18,26,35,24
Monash,08/02/2017,4,20,34,42,18,53,53,24
Monash,08/01/2017,8,20,30,37,17,52,52,24
Florey,08/01/2017,7,17,26,29,17,32,32,24
Civic,08/01/2017,,,21,24,17,23,24,24
Civic,07/31/2017,,,22,25,22,58,58,24
Florey,07/31/2017,4,17,31,38,23,38,38,24
Monash,07/31/2017,2,2,21,35,20,35,35,24
Monash,07/30/2017,6,10,29,35,32,82,82,24
Florey,07/30/2017,13,15,25,32,33,64,64,24
Civic,07/30/2017,,,22,28,34,73,73,24
Florey,07/29/2017,8,18,30,36,26,50,50,24
Monash,07/29/2017,9,22,31,37,33,86,86,24
Civic,07/29/2017,,,26,31,28,42,42,24
Civic,07/28/2017,,,24,31,18,24,31,24
Monash,07/28/2017,5,22,34,42,17,39,42,24
Florey,07/28/2017,7,17,30,37,16,35,37,24
Florey,07/27/2017,5,22,26,31,13,22,31,24
Monash,07/27/2017,7,19,27,32,17,43,43,24
Civic,07/27/2017,,,21,24,19,21,24,24
Florey,07/26/2017,2,8,31,38,,16,38,24
Civic,07/26/2017,,,27,33,19,20,33,24
Monash,07/26/2017,1,10,34,42,14,18,42,24
Florey,07/25/2017,2,14,29,36,9,,36,24
Monash,07/25/2017,3,17,33,39,14,21,39,24
Civic,07/25/2017,,,24,29,18,19,29,24
Monash,07/24/2017,3,16,35,42,15,23,42,24
Civic,07/24/2017,,,27,33,15,19,33,24
Florey,07/24/2017,3,17,32,39,13,28,39,24
Monash,07/23/2017,6,18,30,37,29,80,80,24
Florey,07/23/2017,2,14,27,34,33,70,70,24
Civic,07/23/2017,,,25,30,16,25,30,24
Civic,07/22/2017,,,23,28,24,34,34,24
Monash,07/22/2017,15,19,31,38,44,112,112,24
Florey,07/22/2017,14,14,26,32,41,86,86,24
Monash,07/21/2017,10,21,33,40,23,55,55,24
Florey,07/21/2017,8,18,29,36,26,51,51,24
Civic,07/21/2017,,,23,28,24,29,29,24
Monash,07/20/2017,7,19,33,40,17,45,45,24
Civic,07/20/2017,,,25,30,11,18,30,24
Florey,07/20/2017,9,16,29,35,11,21,35,24
Monash,07/19/2017,4,16,32,40,12,28,40,24
Florey,07/19/2017,3,8,29,36,13,23,36,24
Civic,07/19/2017,,,25,31,11,20,31,24
Monash,07/18/2017,8,18,33,41,32,77,77,24
Civic,07/18/2017,,,24,29,31,44,44,24
Florey,07/18/2017,9,21,30,37,48,91,91,24
Monash,07/17/2017,11,22,30,36,39,110,110,24
Civic,07/17/2017,,,22,27,33,46,46,24
Florey,07/17/2017,16,20,28,33,52,98,98,24
Florey,07/16/2017,10,20,33,41,36,67,67,24
Monash,07/16/2017,11,23,36,44,38,106,106,24
Civic,07/16/2017,,,29,34,24,36,36,24
Monash,07/15/2017,4,19,36,44,19,45,45,24
Civic,07/15/2017,,,27,31,19,38,38,24
Florey,07/15/2017,4,18,31,37,24,47,47,24
Civic,07/14/2017,,,25,30,28,44,44,24
Monash,07/14/2017,12,16,33,41,43,110,110,24
Florey,07/14/2017,16,15,30,36,44,86,86,24
Civic,07/13/2017,,,26,28,48,35,48,24
Florey,07/13/2017,19,20,28,34,48,100,100,24
Monash,07/13/2017,15,23,31,36,53,120,120,24
Civic,07/12/2017,,,23,27,53,47,53,24
Monash,07/12/2017,10,24,33,40,30,62,62,24
Florey,07/12/2017,14,22,30,36,38,77,77,24
Monash,07/11/2017,12,15,31,37,31,84,84,24
Florey,07/11/2017,9,17,27,30,25,51,51,24
Civic,07/11/2017,,,15,17,21,48,48,24
Monash,07/10/2017,6,20,31,36,20,49,49,24
Civic,07/10/2017,,,23,25,15,23,25,24
Florey,07/10/2017,4,15,28,32,13,22,32,24
Florey,07/09/2017,2,10,29,35,11,20,35,24
Civic,07/09/2017,,,25,31,10,24,31,24
Monash,07/09/2017,1,6,32,38,20,70,70,24
Civic,07/08/2017,,,23,27,21,30,30,24
Florey,07/08/2017,8,11,26,32,32,64,64,24
Monash,07/08/2017,10,14,30,36,32,90,90,24
Florey,07/07/2017,12,20,26,30,32,64,64,24
Monash,07/07/2017,10,20,29,34,31,70,70,24
Civic,07/07/2017,,,21,25,23,33,33,24
Florey,07/06/2017,5,16,28,34,10,18,34,24
Civic,07/06/2017,,,23,28,,18,28,24
Monash,07/06/2017,6,19,31,38,18,39,39,24
Monash,07/05/2017,1,4,29,36,9,14,36,24
Civic,07/05/2017,,,21,24,,19,24,24
Florey,07/05/2017,1,7,25,30,11,14,30,24
Florey,07/04/2017,6,4,24,29,54,34,54,24
Monash,07/04/2017,4,5,28,35,42,96,96,24
Civic,07/04/2017,,,21,25,68,42,68,24
Florey,07/03/2017,17,20,15,14,66,,66,24
Civic,07/03/2017,,,8,6,39,42,42,24
Monash,07/03/2017,15,22,18,16,58,141,141,24
Monash,07/02/2017,16,22,27,32,58,148,148,24
Florey,07/02/2017,18,20,28,32,57,86,86,24
Civic,07/02/2017,,,24,28,30,36,36,24
Civic,07/01/2017,,,24,28,29,29,29,24
Monash,07/01/2017,11,22,31,39,37,80,80,24
Florey,07/01/2017,12,20,28,35,37,54,54,24
Florey,06/30/2017,8,20,27,32,27,46,46,24
Civic,06/30/2017,,,24,29,24,34,34,24
Monash,06/30/2017,7,21,32,40,24,59,59,24
Florey,06/29/2017,8,15,24,19,44,74,74,24
Monash,06/29/2017,9,13,28,30,39,90,90,24
Civic,06/29/2017,,,21,12,29,42,42,24
Civic,06/28/2017,,,25,16,35,47,47,24
Monash,06/28/2017,11,18,21,24,43,90,90,24
Florey,06/28/2017,18,14,19,23,52,86,86,24
Monash,06/27/2017,9,21,25,30,34,73,73,24
Civic,06/27/2017,,,16,18,29,35,35,24
Florey,06/27/2017,11,17,23,27,40,58,58,24
Monash,06/26/2017,6,21,31,38,26,67,67,24
Civic,06/26/2017,,,22,27,19,23,27,24
Florey,06/26/2017,6,18,26,32,16,21,32,24
Florey,06/25/2017,4,12,29,37,20,26,37,24
Monash,06/25/2017,10,14,32,40,33,78,78,24
Civic,06/25/2017,,,27,32,19,29,32,24
Monash,06/24/2017,2,14,32,39,27,60,60,24
Florey,06/24/2017,3,14,29,34,31,50,50,24
Civic,06/24/2017,,,26,30,26,45,45,24
Monash,06/23/2017,12,11,33,40,38,82,82,24
Florey,06/23/2017,12,11,31,37,48,77,77,24
Civic,06/23/2017,,,23,28,30,47,47,24
Monash,06/22/2017,9,22,33,38,29,66,66,24
Florey,06/22/2017,20,19,28,35,58,88,88,24
Civic,06/22/2017,,,24,28,35,46,46,24
Civic,06/21/2017,,,9,10,32,46,46,24
Florey,06/21/2017,14,17,20,22,40,61,61,24
Monash,06/21/2017,15,19,23,27,47,113,113,24
Monash,06/20/2017,13,16,13,13,49,109,109,24
Florey,06/20/2017,16,15,18,21,50,80,80,24
Civic,06/20/2017,,,9,10,34,45,45,24
Florey,06/19/2017,15,19,29,34,56,95,95,24
Monash,06/19/2017,13,20,27,32,54,132,132,24
Civic,06/19/2017,,,23,25,32,46,46,24
Florey,06/18/2017,17,17,28,35,61,110,110,24
Monash,06/18/2017,13,17,30,36,42,103,103,24
Civic,06/18/2017,,,25,30,34,66,66,24
Florey,06/17/2017,18,18,21,25,56,96,96,24
Civic,06/17/2017,,,18,22,44,66,66,24
Monash,06/17/2017,13,16,21,25,48,120,120,24
Civic,06/16/2017,,,4,4,41,79,79,24
Monash,06/16/2017,17,17,16,16,58,141,141,24
Florey,06/16/2017,19,15,10,11,68,99,99,24
Monash,06/15/2017,16,21,11,12,52,120,120,24
Civic,06/15/2017,,,5,6,34,49,49,24
Florey,06/15/2017,15,13,15,15,58,80,80,24
Civic,06/14/2017,,,22,22,27,42,42,24
Florey,06/14/2017,16,16,26,27,46,74,74,24
Monash,06/14/2017,15,19,19,12,46,121,121,24
Civic,06/13/2017,,,20,24,24,39,39,24
Florey,06/13/2017,16,17,24,29,49,90,90,24
Monash,06/13/2017,15,20,16,15,50,128,128,24
Civic,06/12/2017,,,13,13,21,42,42,24
Florey,06/12/2017,16,11,16,18,50,94,94,24
Monash,06/12/2017,15,15,20,22,50,134,134,24
Civic,06/11/2017,,,16,19,18,36,36,24
Monash,06/11/2017,13,15,23,27,45,125,125,24
Florey,06/11/2017,16,13,23,27,42,74,74,24
Monash,06/10/2017,9,18,28,35,19,40,40,24
Civic,06/10/2017,,,24,30,14,25,30,24
Florey,06/10/2017,10,17,28,34,22,34,34,24
Civic,06/09/2017,,,22,25,17,28,28,24
Monash,06/09/2017,5,14,26,33,20,34,34,24
Florey,06/09/2017,9,12,26,32,25,41,41,24
Florey,06/08/2017,5,18,27,33,10,16,33,24
Monash,06/08/2017,3,21,30,36,8,6,36,24
Civic,06/08/2017,,,24,30,14,20,30,24
Monash,06/07/2017,1,2,32,39,23,45,45,24
Florey,06/07/2017,1,3,30,38,10,20,38,24
Civic,06/07/2017,,,29,36,14,24,36,24
Florey,06/06/2017,2,8,30,36,34,50,50,24
Civic,06/06/2017,,,27,30,23,42,42,24
Monash,06/06/2017,10,10,30,38,35,82,82,24
Florey,06/05/2017,14,9,26,30,43,74,74,24
Monash,06/05/2017,10,19,24,26,43,87,87,24
Civic,06/05/2017,,,21,22,20,39,39,24
Florey,06/04/2017,16,17,24,29,43,79,79,24
Civic,06/04/2017,,,24,27,22,40,40,24
Monash,06/04/2017,14,20,25,30,51,99,99,24
Civic,06/03/2017,,,23,27,21,32,32,24
Florey,06/03/2017,11,18,28,33,32,50,50,24
Monash,06/03/2017,9,21,29,36,21,48,48,24
Florey,06/02/2017,7,20,29,36,25,42,42,24
Civic,06/02/2017,,,26,32,18,25,32,24
Monash,06/02/2017,9,18,29,36,27,51,51,24
Monash,06/01/2017,6,18,29,35,16,30,35,24
Civic,06/01/2017,,,26,30,15,24,30,24
Florey,06/01/2017,9,20,27,34,27,45,45,24
Civic,05/31/2017,,,25,31,22,32,32,24
Florey,05/31/2017,6,20,29,36,11,14,36,24
Monash,05/31/2017,1,0,29,36,15,40,40,24
Civic,05/30/2017,,,21,25,24,34,34,24
